fondo,min,max,n_dias_obs,anios_cobertura,vivo_al_final
FONDO_0149,2000-06-22,2026-05-01,6452,25.856262833675565,True
FONDO_0150,2023-01-27,2023-04-05,45,0.1861738535249829,False
FONDO_0151,2023-01-30,2023-04-05,45,0.17796030116358658,False
FONDO_0152,2000-07-31,2026-05-01,6469,25.749486652977414,True
FONDO_0153,2004-07-06,2026-05-01,5492,21.817932922655714,True
FONDO_0154,2007-12-14,2026-05-01,4568,18.379192334017795,True
FONDO_0155,2007-12-13,2026-05-01,4624,18.38193018480493,True
FONDO_0156,2004-07-06,2026-05-01,5488,21.817932922655714,True
FONDO_0157,2006-11-21,2026-05-01,4868,19.44147843942505,True
FONDO_0158,2004-07-07,2026-05-01,5491,21.815195071868583,True
FONDO_0159,2006-05-08,2026-05-01,5028,19.980835044490075,True
FONDO_0160,2006-05-08,2026-05-01,5028,19.980835044490075,True
FONDO_0161,2006-05-08,2026-05-01,5028,19.980835044490075,True
FONDO_0162,2006-05-08,2026-05-01,5028,19.980835044490075,True
FONDO_0163,2005-01-31,2026-05-01,5343,21.245722108145106,True
FONDO_0164,2006-05-08,2026-05-01,5028,19.980835044490075,True
FONDO_0165,2006-05-08,2026-05-01,5028,19.980835044490075,True
FONDO_0166,2006-05-08,2026-05-01,5028,19.980835044490075,True
FONDO_0167,2006-05-08,2026-05-01,5028,19.980835044490075,True
FONDO_0168,2005-08-17,2026-05-01,5209,20.70362765229295,True
FONDO_0169,2009-09-30,2026-05-01,4160,16.583162217659137,True
FONDO_0170,2011-04-01,2026-05-01,3793,15.082819986310746,True
FONDO_0171,2011-10-21,2026-05-01,3645,14.52703627652293,True
FONDO_0172,2013-07-19,2026-05-01,3215,12.78302532511978,True
FONDO_0173,2013-04-22,2026-05-01,3143,13.023956194387406,True
FONDO_0174,2013-04-24,2026-05-01,3220,13.018480492813142,True
FONDO_0175,2013-04-23,2026-05-01,3277,13.021218343600275,True
FONDO_0176,2015-05-01,2026-05-01,2734,11.000684462696784,True
FONDO_0177,2015-03-25,2026-05-01,2793,11.101984941820671,True
FONDO_0178,2014-06-13,2026-05-01,2989,11.88227241615332,True
FONDO_0179,2016-12-13,2026-05-01,2222,9.379876796714578,True
FONDO_0180,2016-09-12,2026-05-01,2423,9.631759069130732,True
FONDO_0181,2019-05-13,2026-05-01,1740,6.967830253251198,True
FONDO_0182,2018-04-13,2026-05-01,2024,8.049281314168377,True
FONDO_0183,1999-08-03,2026-05-01,1944,26.743326488706366,True
FONDO_0184,2020-04-16,2026-05-01,1519,6.039698836413415,True
FONDO_0185,2019-03-13,2026-05-01,1795,7.134839151266256,True
FONDO_0186,2015-10-01,2026-05-01,2592,10.581793292265571,True
FONDO_0187,2018-06-19,2026-05-01,1977,7.865845311430527,True
FONDO_0188,2017-11-14,2026-05-01,1952,8.459958932238193,True
FONDO_0189,2017-11-14,2026-05-01,1943,8.459958932238193,True
FONDO_0190,2017-11-13,2026-05-01,2014,8.462696783025326,True
FONDO_0191,2016-11-18,2026-05-01,2358,9.44832306639288,True
FONDO_0192,2016-05-24,2026-05-01,2458,9.935660506502396,True
FONDO_0193,2015-10-01,2026-05-01,2656,10.581793292265571,True
FONDO_0194,2015-09-30,2026-05-01,2656,10.584531143052704,True
FONDO_0195,1993-02-01,2026-05-01,8370,33.242984257357975,True
FONDO_0196,2000-10-02,2026-05-01,6420,25.57700205338809,True
FONDO_0197,2000-10-02,2026-05-01,6367,25.57700205338809,True
FONDO_0198,2023-01-31,2023-03-31,42,0.16153319644079397,False
FONDO_0199,2000-10-02,2026-05-01,6376,25.57700205338809,True
FONDO_0200,2023-01-27,2023-04-05,48,0.1861738535249829,False
FONDO_0201,2011-01-28,2026-05-01,3803,15.255304585900069,True
FONDO_0202,2011-09-30,2026-05-01,3599,14.584531143052704,True
FONDO_0203,2011-01-31,2026-05-01,3793,15.247091033538672,True
FONDO_0204,2001-05-02,2026-05-01,6232,24.996577686516083,True
FONDO_0205,2011-09-30,2026-05-01,3543,14.584531143052704,True
FONDO_0206,2006-06-23,2026-05-01,4995,19.854893908281998,True
FONDO_0207,2006-06-23,2026-05-01,4993,19.854893908281998,True
FONDO_0208,2006-06-23,2026-05-01,4971,19.854893908281998,True
FONDO_0209,2006-06-23,2020-03-30,3469,13.768651608487337,False
FONDO_0210,2005-11-16,2026-05-01,5136,20.45448323066393,True
FONDO_0211,2005-11-16,2026-05-01,5145,20.45448323066393,True
FONDO_0212,2000-10-11,2026-05-01,6400,25.5523613963039,True
FONDO_0213,2005-11-16,2023-06-09,4352,17.560574948665298,False
FONDO_0214,2005-11-16,2026-05-01,5070,20.45448323066393,True
FONDO_0215,2005-11-16,2026-05-01,4881,20.45448323066393,True
FONDO_0216,2006-02-07,2026-05-01,5086,20.227241615331966,True
FONDO_0217,2006-02-07,2026-05-01,5090,20.227241615331966,True
FONDO_0218,2006-02-07,2026-05-01,5090,20.227241615331966,True
FONDO_0219,1998-01-21,2026-05-01,7114,28.27378507871321,True
FONDO_0220,2020-07-29,2026-05-01,1447,5.754962354551677,True
FONDO_0221,2006-06-23,2026-05-01,4994,19.854893908281998,True
FONDO_0222,2018-10-23,2026-05-01,1870,7.520876112251882,True
FONDO_0223,2015-10-23,2026-05-01,2645,10.521560574948666,True
FONDO_0224,2015-04-17,2026-05-01,2544,11.039014373716633,True
FONDO_0225,2013-07-10,2026-05-01,3206,12.80766598220397,True
FONDO_0226,1998-12-23,2026-05-01,6880,27.353867214236825,True
FONDO_0227,1998-12-23,2026-05-01,6880,27.353867214236825,True
FONDO_0228,1998-12-23,2026-05-01,6880,27.353867214236825,True
FONDO_0229,1998-12-23,2026-05-01,6880,27.353867214236825,True
FONDO_0230,1998-12-23,2026-05-01,6880,27.353867214236825,True
FONDO_0231,1998-12-23,2026-05-01,6880,27.353867214236825,True
FONDO_0232,1998-12-23,2026-05-01,6879,27.353867214236825,True
FONDO_0233,1998-12-23,2026-05-01,6880,27.353867214236825,True
FONDO_0234,2018-06-20,2026-05-01,1977,7.863107460643395,True
FONDO_0235,2015-10-09,2026-05-01,2648,10.559890485968515,True
FONDO_0236,1998-12-23,2026-05-01,6880,27.353867214236825,True
FONDO_0237,2023-01-31,2023-04-05,46,0.17522245037645448,False
FONDO_0238,2020-08-29,2023-04-05,53,2.598220396988364,False
FONDO_0239,2002-10-02,2026-04-30,5930,23.575633127994525,True
FONDO_0240,2023-01-27,2023-04-05,45,0.1861738535249829,False
FONDO_0241,2023-01-26,2023-04-05,49,0.188911704312115,False
FONDO_0242,2012-04-26,2026-05-01,3524,14.012320328542094,True
FONDO_0243,2018-09-21,2026-05-01,1912,7.60848733744011,True
FONDO_0244,1990-08-01,2026-04-30,9010,35.74537987679671,True
FONDO_0245,2001-06-01,2026-04-30,6272,24.91170431211499,True
FONDO_0246,2004-02-02,2026-05-01,5588,22.24229979466119,True
FONDO_0247,2004-02-02,2026-05-01,5594,22.24229979466119,True
FONDO_0248,2004-09-30,2026-05-01,5431,21.582477754962355,True
FONDO_0249,2004-02-02,2026-05-01,5589,22.24229979466119,True
FONDO_0250,2004-02-02,2026-05-01,5598,22.24229979466119,True
FONDO_0251,2004-09-30,2026-05-01,5426,21.582477754962355,True
FONDO_0252,2004-02-02,2026-05-01,5586,22.24229979466119,True
FONDO_0253,2004-02-02,2026-05-01,5595,22.24229979466119,True
FONDO_0254,2004-02-02,2026-05-01,5595,22.24229979466119,True
FONDO_0255,2004-09-30,2026-05-01,5415,21.582477754962355,True
FONDO_0256,2010-09-10,2026-05-01,3934,15.638603696098563,True
FONDO_0257,2006-08-25,2026-05-01,4951,19.682409308692677,True
FONDO_0258,2004-09-30,2026-05-01,5431,21.582477754962355,True
FONDO_0259,2004-02-02,2026-05-01,5594,22.24229979466119,True
FONDO_0260,2004-02-02,2026-05-01,5598,22.24229979466119,True
FONDO_0261,2004-02-02,2026-05-01,5595,22.24229979466119,True
FONDO_0262,2023-01-27,2023-04-05,47,0.1861738535249829,False
FONDO_0263,2023-01-27,2023-04-05,48,0.1861738535249829,False
FONDO_0264,2004-02-02,2026-05-01,5598,22.24229979466119,True
FONDO_0265,2004-02-02,2026-05-01,5598,22.24229979466119,True
FONDO_0266,2001-06-01,2026-05-01,6266,24.914442162902123,True
FONDO_0267,1997-07-08,2026-04-30,7264,28.810403832991103,True
FONDO_0268,1998-05-15,2026-04-30,7046,27.958932238193018,True
FONDO_0269,1997-07-08,2026-04-30,7263,28.810403832991103,True
FONDO_0270,2023-01-27,2023-03-31,44,0.17248459958932238,False
FONDO_0271,2006-06-19,2026-05-01,4999,19.865845311430526,True
FONDO_0272,2006-06-19,2026-05-01,4999,19.865845311430526,True
FONDO_0273,2006-06-19,2026-05-01,4999,19.865845311430526,True
FONDO_0274,2007-02-26,2026-05-01,4806,19.175906913073238,True
FONDO_0275,2007-02-26,2026-05-01,4812,19.175906913073238,True
FONDO_0276,2023-01-27,2023-04-04,42,0.1834360027378508,False
FONDO_0277,2013-05-23,2026-05-01,3255,12.93908281998631,True
